"Check","Severity","Excluded","Type","Description","Details"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(68.27 mm, 158.71 mm): PTH pad 1 [+3.3V] of U3;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(75.2 mm, 126.88 mm): PTH pad 5 [/DATA_OE] of J2;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(70.81 mm, 158.71 mm): PTH pad 2 [/A7] of U3;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(77.74 mm, 126.88 mm): PTH pad 6 [/DATA_OE_FPGA] of J2;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(70.81 mm, 158.71 mm): PTH pad 2 [/A7] of U3;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(77.74 mm, 126.88 mm): PTH pad 6 [/DATA_OE_FPGA] of J2;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(73.35 mm, 158.71 mm): PTH pad 3 [/A6] of U3;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(73.35 mm, 158.71 mm): PTH pad 3 [/A6] of U3;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(92.02 mm, 146.5 mm): PTH pad 1 [/A7_LV] of U1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(75.89 mm, 158.71 mm): PTH pad 4 [/A5] of U3;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
